"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1581","Если кликнуть на заказ, откроется всплывающее окно с деталями","tests","Sun Apr 20 00:16:44 MSK 2025","passed","Sun Apr 20 00:16:46 MSK 2025","TestOrderFeed","test_order_feed","",""
"","1910","Клик по кнопке показать/скрыть пароль делает поле активным","tests","Sun Apr 20 00:21:32 MSK 2025","passed","Sun Apr 20 00:21:34 MSK 2025","TestRecoveryPass","test_recovery_pass","",""
"При добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента","657","test_check_ingredient_counter[firefox]","tests","Sun Apr 20 00:16:11 MSK 2025","failed","Sun Apr 20 00:16:12 MSK 2025","TestMainPage","test_main_page","",""
"Всплывающее окно закрывается кликом по крестику","694","test_click_on_cross[chrome]","tests","Sun Apr 20 00:15:30 MSK 2025","passed","Sun Apr 20 00:15:30 MSK 2025","TestMainPage","test_main_page","",""
"","7421","При создании нового заказа счётчик Выполнено за всё время увеличивается","tests","Sun Apr 20 00:18:26 MSK 2025","passed","Sun Apr 20 00:18:33 MSK 2025","TestOrderFeed","test_order_feed","",""
"Переход по клику на «Конструктор»","238","test_click_constructor[chrome]","tests","Sun Apr 20 00:14:17 MSK 2025","passed","Sun Apr 20 00:14:17 MSK 2025","TestMainPage","test_main_page","",""
"","303","Выход из ЛК","tests","Sun Apr 20 00:14:07 MSK 2025","broken","Sun Apr 20 00:14:07 MSK 2025","TestProfile","test_account_profile","",""
"Всплывающее окно закрывается кликом по крестику","903","test_click_on_cross[firefox]","tests","Sun Apr 20 00:15:46 MSK 2025","passed","Sun Apr 20 00:15:47 MSK 2025","TestMainPage","test_main_page","",""
"","7623","При создании нового заказа счётчик Выполнено за всё время увеличивается","tests","Sun Apr 20 00:18:42 MSK 2025","passed","Sun Apr 20 00:18:50 MSK 2025","TestOrderFeed","test_order_feed","",""
"Переход по клику на «Лента заказов»","269","test_click_order_feed[firefox]","tests","Sun Apr 20 00:14:54 MSK 2025","passed","Sun Apr 20 00:14:55 MSK 2025","TestMainPage","test_main_page","",""
"Если кликнуть на ингредиент, появится всплывающее окно с деталями","367","test_click_ingredient_check_window[chrome]","tests","Sun Apr 20 00:15:04 MSK 2025","passed","Sun Apr 20 00:15:05 MSK 2025","TestMainPage","test_main_page","",""
"","30693","После оформления заказа его номер появляется в разделе В работе","tests","Sun Apr 20 00:20:21 MSK 2025","broken","Sun Apr 20 00:20:52 MSK 2025","TestOrderFeed","test_order_feed","",""
"Переход по клику на «Конструктор»","296","test_click_constructor[firefox]","tests","Sun Apr 20 00:14:32 MSK 2025","passed","Sun Apr 20 00:14:32 MSK 2025","TestMainPage","test_main_page","",""
"","1745","Проверить страницу восстановления пароля, после введения почты","tests","Sun Apr 20 00:21:23 MSK 2025","passed","Sun Apr 20 00:21:25 MSK 2025","TestRecoveryPass","test_recovery_pass","",""
"","20625","При создании нового заказа счётчик Выполнено за всё время увеличивается","tests","Sun Apr 20 00:19:02 MSK 2025","failed","Sun Apr 20 00:19:22 MSK 2025","TestOrderFeed","test_order_feed","",""
"","1954","Выход из ЛК","tests","Sun Apr 20 00:13:52 MSK 2025","passed","Sun Apr 20 00:13:54 MSK 2025","TestProfile","test_account_profile","",""
"","16891","При создании нового заказа счётчик Выполнено за всё время увеличивается","tests","Sun Apr 20 00:19:36 MSK 2025","failed","Sun Apr 20 00:19:53 MSK 2025","TestOrderFeed","test_order_feed","",""
"","169","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","Sun Apr 20 00:20:58 MSK 2025","passed","Sun Apr 20 00:20:58 MSK 2025","TestRecoveryPass","test_recovery_pass","",""
